StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q6_5_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q11_1,Q11_2,Q11_3,Q12,Q13,Q14,Q15,Q15_10_TEXT,Q16,Q17,Q18,Q19,Q19_6_TEXT,Q20_1,Q20_2,Q20_3,Q21_1,Q21_2,Q21_3,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q28,Q29,Q30,Q30_8_TEXT,Q31,Q32,Q33,Q33_8_TEXT,Q34,Q35,Q36,Q37,Q37_4_TEXT,Q33_8_TEXT - Parent Topics,Q33_8_TEXT - Sentiment Polarity,Q33_8_TEXT - Sentiment Score,Q33_8_TEXT - Sentiment,Q33_8_TEXT - Topic Sentiment Label,Q33_8_TEXT - Topic Sentiment Score,Q33_8_TEXT - Topics
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your intended concentration?

If you are a joint concentrator, select your primary concentration. If you are undeclared, you may still select an intended concentration.",What is your expected graduation date? (MM/YYYY),Have you ever been enrolled and/or are you currently enrolled in a course within the Computer Science department at Harvard?,"Before attending Harvard, which of the following concentrations did you consider pursuing? Please select all that apply.

If you considered your current intended concentration(s), include them in your selection below.",Which of the following on-campus resources have helped you decide your concentration(s)? Please select all that apply.,"If you have been taught programming or computer science through an academic or extracurricular program, when did you enroll in your first course? - Selected Choice","If you have been taught programming or computer science through an academic or extracurricular program, when did you enroll in your first course? - Other - Text","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Computer Programming","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Theoretical computer science","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Economics and computation","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Networks","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Programming languages","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Formal Reasoning","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Systems","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Graphics, visualization, and user interfaces","How do you think your level of comfort in the following topics compare to other CS concentrators in your year? (1 - significantly less knowledgeable, 4 - around average, 7 - significantly more knowledgeable) - Artificial intelligence","Please indicate the extent to which you disagree or agree with each of the following statements: I am interested in CS because ... (1 - strongly disagree, 4- neither agree nor disagree, 7 - strongly agree) - I enjoy collaborating on problems with others in the CS community.","Please indicate the extent to which you disagree or agree with each of the following statements: I am interested in CS because ... (1 - strongly disagree, 4- neither agree nor disagree, 7 - strongly agree) - I enjoy being creative and coming up with new ways to solve problems.","Please indicate the extent to which you disagree or agree with each of the following statements: I am interested in CS because ... (1 - strongly disagree, 4- neither agree nor disagree, 7 - strongly agree) - I enjoy the job security that comes with CS.","Please indicate the extent to which you disagree or agree with each of the following statements: For a course within my primary concentration department, I feel comfortable (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Asking or answering questions during lecture","Please indicate the extent to which you disagree or agree with each of the following statements: For a course within my primary concentration department, I feel comfortable (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Asking or answering questions during sections","Please indicate the extent to which you disagree or agree with each of the following statements: For a course within my primary concentration department, I feel comfortable (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Asking or answering questions during office hours","Please indicate the extent to which you disagree or agree with each of the following statements: For a course within my primary concentration department, I feel comfortable (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Asking or answering questions in an online forum (ex: Canvas, Piazza, Ed)","Please indicate the extent to which you disagree or agree with each of the following statements: For a course within my primary concentration department, I feel comfortable (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Privately asking the teaching staff questions","Please indicate which of the following statements you agree with: 
I would feel comfortable approaching at least one faculty member from within my primary concentration department... Select all that apply.","Please indicate the extent to which you disagree or agree with each of the following statements: the aspects of my identity that are important to me, such as gender, ethnicity, or sexuality, are adequately represented among ... (1 - strong disagree, 4 - neither agree nor disagree, 7 - strongly agree) - the students in my primary concentration department","Please indicate the extent to which you disagree or agree with each of the following statements: the aspects of my identity that are important to me, such as gender, ethnicity, or sexuality, are adequately represented among ... (1 - strong disagree, 4 - neither agree nor disagree, 7 - strongly agree) - the teaching staff for courses in my primary concentration department","Please indicate the extent to which you disagree or agree with each of the following statements: the aspects of my identity that are important to me, such as gender, ethnicity, or sexuality, are adequately represented among ... (1 - strong disagree, 4 - neither agree nor disagree, 7 - strongly agree) - the professors in my primary concentration department","Indicate which of the following Harvard CS courses you have taken, including in this semester:","Please indicate the extent to which you disagree or agree with the following statement:
I can easily find problem set partners within a CS course.",Do you plan to enroll in another course within the CS department in a future semester?,"If you answered ‘No’ or ‘Undecided’ to the previous question, which of the following reasons may inform your decision to enroll in another course within the CS department?  Select all that apply. - Selected Choice","If you answered ‘No’ or ‘Undecided’ to the previous question, which of the following reasons may inform your decision to enroll in another course within the CS department?  Select all that apply. - Other: - Text","Have you ever considered applying to graduate studies, such as a Master’s or Doctorate degree, in CS?","If you answered 'Yes I have considered but do not intend to apply to graduate studies in CS' to the previous question, which of the following reasons has influenced your decision to ultimately not apply? Select all that apply",Do you intend to write a senior thesis within the CS department?,"If you answered ‘No’ to the previous question, which of the following reasons has influenced your decision to not write a senior thesis? Select all that apply. - Selected Choice","If you answered ‘No’ to the previous question, which of the following reasons has influenced your decision to not write a senior thesis? Select all that apply. - Other: - Text","Please indicate the extent to which you disagree or agree with each of the following statements: My primary concentration department is (1 - strong disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Academically supportive","Please indicate the extent to which you disagree or agree with each of the following statements: My primary concentration department is (1 - strong disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Professionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements: My primary concentration department is (1 - strong disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Emotionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements: The student community within my primary concentration is (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Academically supportive","Please indicate the extent to which you disagree or agree with each of the following statements: The student community within my primary concentration is (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Professionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements: The student community within my primary concentration is (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Emotionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements: I have experienced discrimination within my primary concentration on the basis of ... (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My gender","Please indicate the extent to which you disagree or agree with each of the following statements: I have experienced discrimination within my primary concentration on the basis of ... (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My race or ethnicity","Please indicate the extent to which you disagree or agree with each of the following statements: I have experienced discrimination within my primary concentration on the basis of ... (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My sexuality","Please indicate the extent to which you disagree or agree with each of the following statements: I have experienced discrimination within my primary concentration on the basis of ... (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My disability","Please indicate the extent to which you disagree or agree with each of the following statements: I have experienced discrimination within my primary concentration on the basis of ... (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My social class","Please indicate the extent to which you disagree or agree with each of the following statements: I have experienced discrimination within my primary concentration on the basis of ... (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Other","Please indicate the extent to which you disagree or agree with each of the following statements: I have noticed discrimination within my primary concentration on the basis of (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My gender","Please indicate the extent to which you disagree or agree with each of the following statements: I have noticed discrimination within my primary concentration on the basis of (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My race or ethnicity","Please indicate the extent to which you disagree or agree with each of the following statements: I have noticed discrimination within my primary concentration on the basis of (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My sexuality","Please indicate the extent to which you disagree or agree with each of the following statements: I have noticed discrimination within my primary concentration on the basis of (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My disability","Please indicate the extent to which you disagree or agree with each of the following statements: I have noticed discrimination within my primary concentration on the basis of (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - My social class","Please indicate the extent to which you disagree or agree with each of the following statements: I have noticed discrimination within my primary concentration on the basis of (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Other","Please indicate the extent to which you disagree or agree with each of the following statements: (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Discrimination on the basis of gender is an issue within my primary concentration","Please indicate the extent to which you disagree or agree with each of the following statements: (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Discrimination on the basis of race or ethnicity is an issue within my primary concentration","Please indicate the extent to which you disagree or agree with each of the following statements: (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Discrimination on the basis of sexuality is an issue within my primary concentration","Please indicate the extent to which you disagree or agree with each of the following statements: (1 - strongly disagree, 4 - neither agree nor disagree, 7 - strongly agree) - Sexual harassment is an issue within my primary concentration","Please indicate which of the following statements you agree with:
It has been easy for me to join student organizations at Harvard relating to my…","Have you ever been involved in a student organization at Harvard relating to computer science, engineering, or technology?","On a scale of 1 - 10, how stressful is the process of finding an internship or job?  ( 1 being the least stressful, and 10 being the most) - How stressful is the process of finding an internship or job?","Please indicate which of the following statements you agree with:
When looking for internships and job opportunities, direct connections or referrals are accessible to me through…","Please indicate which of the following statements you agree with:
When looking for internships and job opportunities, guidance and mentorship are accessible to me through…",What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,Do you identify as transgender?,What is your sexual orientation?,What is your racial or ethnic identification? Select all that apply. - Selected Choice,What is your racial or ethnic identification? Select all that apply. - Other - Text,Are you of Hispanic or Latinx origin?,Do you identify as a first-generation college student?,Do you identify as a student from a low-income background?,"If you have been diagnosed with a disability or impairment, which of the following have been diagnosed? Select all that apply. - Selected Choice","If you have been diagnosed with a disability or impairment, which of the following have been diagnosed? Select all that apply. - Other - Text",Q33_8_TEXT - Parent Topics,Q33_8_TEXT - Sentiment Polarity,Q33_8_TEXT - Sentiment Score,Q33_8_TEXT - Sentiment,Q33_8_TEXT - Topic Sentiment Label,Q33_8_TEXT - Topic Sentiment Score,Q33_8_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID48_8""}","{""ImportId"":""QID48_9""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID50_5""}","{""ImportId"":""QID15""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_10_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID53""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID56_5""}","{""ImportId"":""QID56_6""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_8_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_8_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_4_TEXT""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aParTopics""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aSenPol""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aSenScore""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aSentiment""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aTopicSenLabel""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aTopicSenScore""}","{""ImportId"":""QID41_8_TEXT_a1cc5bbdf9bc492aa67fcc1aTopics""}"
2021-10-25 07:59:35,2021-10-25 08:07:06,IP Address,100,451,True,2021-10-25 08:07:06,R_3CRcy2qKifwtEpb,anonymous,EN,Computer Science,06/2025,Yes,Computer Science,My first-year academic advisor,In high school (including summer after graduation),,4,3,2,1,4,4,1,2,1,4,6,5,4,7,6,4,5,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",7,7,7,CS 50: Introduction to Computer Science I,Somewhat agree,Yes,,,"Yes, I have considered but do not intend to apply to graduate studies in CS",Graduate school doesn't fit into my career path,"No, I do not intend to write a senior thesis in the CS department",I am not interested in computer science research,,6,5,4,5,5,4,5,1,1,1,2,1,5,1,1,1,2,1,5,1,1,1,"Academic interests,Professional interests,Non-academic and non-professional interests",Yes,8,Fellow students,Fellow students,Woman,,No,Straight/Heterosexual,White,,"No, not of Hispanic or Latinx origin",No,Yes,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 08:28:52,2021-10-25 08:35:47,IP Address,100,414,True,2021-10-25 08:35:47,R_3HnToUttO9fMqUR,anonymous,EN,Computer Science,05/2025,Yes,Computer Science,,In high school (including summer after graduation),,5,3,4,2,4,2,1,1,2,6,7,5,2,4,7,7,7,"To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",5,5,2,CS 50: Introduction to Computer Science I,Strongly agree,Yes,,,"No, I have not considered applying to graduate studies in CS",,I am unsure or undecided,,,6,6,7,6,6,6,2,2,1,1,1,4,3,3,1,1,1,1,5,4,4,5,"Academic interests,Professional interests",Yes,5,"Fellow students,Professional networks,The Harvard Office of Career Services","Fellow students,Professional networks,The Harvard Office of Career Services",Woman,,No,Straight/Heterosexual,Asian,,"No, not of Hispanic or Latinx origin",No,No,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 09:02:34,2021-10-25 09:04:38,IP Address,100,123,True,2021-10-25 09:04:39,R_2B8WmY8x4Agxew9,anonymous,EN,Undecided,05/2024,No,"Art, Film, and Visual Studies,Comparative Literature,English,History of Art and Architecture,Theater, Dance, & Media,Women, Gender, and Sexuality, Study of","Department heads,Department faculty,Department-specific advising programs",I have never been taught programming or computer science in an academic or extracurricular program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professional interests,No,10,"Close friends and family,Fellow students,Alumni networks","Close friends and family,Fellow students,Professional networks,Alumni networks",Prefer not to say,,Prefer not to say,Queer,Asian,,"No, not of Hispanic or Latinx origin",No,No,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 11:55:33,2021-10-25 11:59:45,IP Address,100,251,True,2021-10-25 11:59:46,R_eqRiQbdcugJbBZv,anonymous,EN,Physics,05/2024,Yes,Physics,"Residential advising resources, such as house tutors or proctors,Department-specific advising programs",In college,,,,,,,,,,,,,,2,6,7,7,7,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",7,7,7,CS 51: Introduction to Computer Science II,Strongly agree,Yes,,,,,,,,5,5,4,6,6,6,5,5,3,4,4,4,6,5,4,4,4,4,7,7,5,5,"Academic interests,Non-academic and non-professional interests",Yes,10,"Close friends and family,Fellow students,Professional networks,Alumni networks","Close friends and family,Fellow students,Professional networks,Alumni networks,The Harvard Office of Career Services",Woman,,No,Questioning or unsure,"Asian,Native Hawaiian or Other Pacific Islander",,"No, not of Hispanic or Latinx origin",No,No,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 11:59:21,2021-10-25 12:03:13,IP Address,100,231,True,2021-10-25 12:03:14,R_2rlkdo7UTQeQWMa,anonymous,EN,Applied Mathematics,05/2024,Yes,"Applied Mathematics,Economics",,In high school (including summer after graduation),,,,,,,,,,,,,,1,3,4,7,7,,7,6,7,CS 50: Introduction to Computer Science I,Strongly disagree,No,"CS courses are poorly designed or organized,I do not have any friends or community within the CS department,I do not feel supported by the CS department",,,,,,,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,Professional interests,No,10,,,Woman,,No,Questioning or unsure,Asian,,"No, not of Hispanic or Latinx origin",No,No,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 12:16:10,2021-10-25 12:21:24,IP Address,100,314,True,2021-10-25 12:21:25,R_3hANddTwCIAHBmx,anonymous,EN,Physics,05/2022,Yes,"Mathematics,Physics",Department faculty,In high school (including summer after graduation),,,,,,,,,,,,,,5,6,7,6,7,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",6,6,7,"CS 124: Data Structures and Algorithms,CS 10x, an undergraduate-level miscellaneous course,CS 22x, a graduate-level theoretical computer science course",Agree,Yes,,,,,,,,5,4,4,6,6,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,Academic interests,Yes,7,"Fellow students,Professional networks","Fellow students,Professional networks",Man,,No,Straight/Heterosexual,White,,"No, not of Hispanic or Latinx origin",No,No,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 12:24:27,2021-10-25 12:30:04,IP Address,100,337,True,2021-10-25 12:30:04,R_0esc9698UCheZvr,anonymous,EN,Social Studies,03/2023,Yes,"Computer Science,History,History and Literature,Philosophy,Social Studies,Sociology","Residential advising resources, such as house tutors or proctors,Department faculty,Peer Advising Fellows (PAFs)",In high school (including summer after graduation),,,,,,,,,,,,,,4,7,7,1,7,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",5,4,4,"CS 50: Introduction to Computer Science I,CS 51: Introduction to Computer Science II",Somewhat disagree,No,"I am no longer interested in CS,CS course material is too difficult,CS courses are too time-intensive,I do not have enough space in my schedule",,,,,,,7,3,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Non-academic and non-professional interests,Yes,9,"Alumni networks,The Harvard Office of Career Services",Close friends and family,Man,,No,Straight/Heterosexual,Asian,,"No, not of Hispanic or Latinx origin",No,Yes,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
2021-10-25 12:19:53,2021-10-25 12:33:40,IP Address,100,826,True,2021-10-25 12:33:40,R_1NCAzjn3WefjyUM,anonymous,EN,Computer Science,05/2022,Yes,"Applied Mathematics,Computer Science,Engineering Sciences,Physics",,In high school (including summer after graduation),,5,3,1,1,1,4,2,7,4,4,6,6,1,3,5,2,2,,3,3,2,"CS 50: Introduction to Computer Science I,CS 51: Introduction to Computer Science II,CS 61: Systems Programming and Machine Organization,CS 121: Introduction to Theoretical Computer Science,CS 124: Data Structures and Algorithms,CS 17x, an undergraduate-level graphics/visualization/user interfaces course,CS 18x, an undergraduate-level artificial intelligence course,CS 28x, a graduate-level artificial intelligence course",Neither agree nor disagree,No,"I have already taken all of the CS courses I am interested in,I am not required to take any additional CS courses to fulfill my concentration/secondary,CS courses are too time-intensive,Other:",I don’t want to waste time traveling to the SEC,"Yes, I have considered but do not intend to apply to graduate studies in CS",I did not feel as if I had the resources to successfully apply to graduate school,"No, I do not intend to write a senior thesis in the CS department","I cannot think of or decide on a thesis topic,I am unaware of the processes or steps that must be taken in order to write a senior thesis,I am unavailable to commit the time to writing a thesis",,3,2,2,5,5,2,5,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,Academic interests,Yes,7,Fellow students,Fellow students,Woman,,No,Straight/Heterosexual,Asian,,"No, not of Hispanic or Latinx origin",No,No,"No, I have not been diagnosed with a disability or impairment",,,,,,,,
